'ai'zi'bing'fang'zhi'tiao'li 艾滋病防治条例
'jing'wai'tou'zi'guan'li'ban'fa 境外投资管理办法
'jing'wu'ren'yuan 警务人员
'jing'xing'pan'jue 径行判决
'jing'yan'jiu 经研究
'jing'ye'jin'zhi 竞业禁止
'jing'ying'huo'dong 经营活动
'jing'ying'qi'xian 经营期限
'jing'ying'quan 经营权
'jing'ying'zi'zhu'quan 经营自主权
'jing'zheng'jia'ju 竞争加剧
'jiu'fen 纠纷
'jiu'feng'ban 纠风办
'jiu'ji 救济
'jiu'ji'quan 救济权
'jiu'lei'liu'tong'guan'li'ban'fa 酒类流通管理办法
'jiu'lei'zhuan'mai'xing'zheng'chu'li'jue'ding 酒类专卖行政处理决定
'jiu'long 九龙
'jiu'shi'hun'yin 旧式婚姻
'jiu'tu'di'er'jiao'fu 就土地而缴付
'jiu'xiang'shi'su'song 纠向式诉讼
'jiu'ye'cu'jin'fa 就业促进法
'jiu'zheng 纠正
'jiu'zheng'hang'ye'bu'zheng'zhi'feng 纠正行业不正之风
'jiu'zhu'you'xian'quan 救助优先权
'ju'bao 举报
'ju'bei'bi'yao'de'zi'ge 具备必要的资格
'ju'bu 拘捕
'ju'bu'xing'jin'rong'feng'bo 局部性金融风波
'ju'cheng'de'fu'qin 据称的父亲
'ju'chuan 拘传
'ju'chuan'piao 拘传票
'ju'ci 据此
'ju'fa'tuan'di'wei'de'gong'si 具法团地位的公司
'ju'fu'piao'ju 拒付票据
'ju'ji 居藉
'ju'jian 居间
'ju'jian'ren 居间人
'ju'jin 拘禁
'ju'jue'ban'fa'chi'qiang'zheng 拒绝颁发持枪证
'ju'jue'lv'xing 拒绝履行
'ju'li'fa 举例法
'ju'liu'shen'cha'jue'ding 拘留审查决定
'ju'liu'shen'cha'tong'zhi'shu'zi'hao 拘留审查通知书字号
'ju'liu'suo 拘留所
'ju'lou'wu'de'di'qi 居楼屋的抵契
'ju'lv'yi'xi 聚氯乙烯
'ju'min'shen'fen'zheng'fa 居民身份证法
'ju'suo 居所
'ju'ti'chu'fa'xing'wei 具体处罚行为
'ju'ti'xing'zheng'xing'wei 具体行政行为
'ju'yi 拘役
'ju'yi'pan'xing 拘役判刑
'ju'yi'zuo'wei'chu'fa 拘役作为处罚
'ju'you'fa'lv'yue'shu'li 具有法律约束力
'ju'you'quan'xian'de'zhu'guan'dang'ju 具有权限的主管当局
'ju'you'zhong'guo'te'se'de 具有中国特色的
'ju'zheng'ze'ren 举证责任
'juan'zhong'suo'cun 卷中所存
'juan'zong 卷宗
'jue'ce'quan'zhai 决策权债
'jue'ding'shu 决定书
'jue'dui'bi'yao'shi'xiang 绝对必要事项
'jue'dui'quan 绝对权
'jue'dui'xin'ren 绝对信任
'jue'mai 绝卖
'jun'bing'zhong 军兵种
'jun'dui'can'jia'qiang'xian'jiu'zai'tiao'li 军队参加抢险救灾条例
'jun'dui'xin'fang'tiao'li 军队信访条例
'jun'dui'zhuan'ye'gan'bu 军队转业干部
'jun'fu'guan'li'tiao'li 军服管理条例
'jun'qu 军区
'jun'ren'fu'xu'you'dai'tiao'li 军人抚恤优待条例
'jun'ren'tong'xing'zheng 军人通行证
'jun'shi'fa'yuan 军事法院
'jun'shi'jian'cha'yuan 军事检察院
'jun'wei'ji'lv'jian'cha'wei'yuan'hui 军委纪律检查委员会
'jun'wei'zong'zheng'zhi'bu 军委总政治部
'jun'zi'xie'ding 君子协定
'kai'ban'ren'min'bi'ye'wu 开办人民币业务
'kai'fa'yin'hang 开发银行
'kai'fa'yin'hang'ban'gong'ting 开发银行办公厅
'kai'fang'zheng'ce 开放政策
'kai'jiang'gong'zheng'xi'ze 开奖公证细则
'kai'ting'shen'li 开庭审理
'kai'ting'tong'zhi 开庭通知
'kan'shou'suo 看守所
'kan'yan 勘验
'kan'yan'bi'lu 勘验笔录
'kan'yan'jian'cha'bi'lu 勘验检查笔录
'kang'bian 抗辩
'kang'bian'li'ju 抗辩理据
'kang'bian'quan 抗辩权
'kang'han'tiao'li 抗旱条例
'kang'shui 抗税
'kang'su 抗诉
'kang'su'ren 抗诉人
'kang'su'shu 抗诉书
'ke'bian'cheng'ben 可变成本
'ke'bian'tiao'jian 可变条件
'ke'bo'hui'de 可驳回的
'ke'che'xiao'de 可撤销的
'ke'che'xiao'min'shi'xing'wei 可撤销民事行为
'ke'che'xiao'min'shi'xing'wei 可撤消民事行为
'ke'chi'xu'jing'ji'zeng'zhang 可持续经济增长
'ke'dong'cai'chan 可动财产
'ke'fan'bo'de 可反驳的
'ke'fen'wu 可分物
'ke'gong'su'zui'xing 可公诉罪行
'ke'guan'biao'zhi'yuan'ze 客观标志原则
'ke'guan'jie'lun 客观结论
'ke'hu 客户
'ke'ji'gan'bu'ju 科技干部局
'ke'liu'zhuan'piao'ju 可流转票据
'ke'mu 科目
'ke'ping'piao'yao'qiu'fu'kuan 可凭票要求付款
'ke'qiang'zhi'zhi'xing'de 可强制执行的
'ke'shang'xiao'de'pin'zhi 可商销的品质
'ke'shi'shi'de 可实施的
'ke'shi'wu'xiao'de 可使无效的
'ke'shou'hui'de 可收回的
'ke'ti'chu'gong'su 可提出公诉
'ke'xing'xing'bao'gao 可行性报告
'ke'xing'xing'yan'jiu'bao'gao 可行性研究报告
'ke'xuan'bu'shi'xiao'de 可宣布失效的
'ke'xue 科学
'ke'xue'fa'ming'ping'xuan'wei'yuan'hui 科学发明评选委员会
'ke'xue'ji'shu'bao'mi'gui'ding 科学技术保密规定
'ke'xue'ji'shu'bu 科学技术部
'ke'xue'ji'shu'gong'ye'wei'yuan'hui 科学技术工业委员会
'ke'xue'ji'shu'jin'bu'fa 科学技术进步法
'ke'xue'ji'shu'pu'ji'fa 科学技术普及法
'ke'xue'ji'shu'wei'yuan'hui 科学技术委员会
'ke'xue'ji'shu'xie'hui 科学技术协会
'ke'xue'yuan 科学院
'ke'xun'gong'su'cheng'xu'shen'xun 可循公诉程序审讯
'ke'yi 可以
'ke'zai'sheng'neng'yuan'fa 可再生能源法
'ke'zhi'xing'cai'chan 可执行财产
'ke'zhuan'huan'zhai'quan 可转换债券
'ke'zhuan'rang'piao'ju 可转让票据
'ke'zhui'chang'de 可追偿的
'ke'zi'you'dui'huan'huo'bi 可自由兑换货币
'ke'zuo'duo'zhong'jie'shi 可作多种解释
'kong'cang'fei 空舱费
'kong'gao 控告
'kong'gao'ren 控告人
'kong'gao'shi'su'song 控告式诉讼
'kong'gu'gong'si 控股公司
'kong'su'zheng'ju 控诉证据
'kong'su'zhi'neng 控诉职能
'kong'tou'zhuan'zhang'zhi'piao 空头转帐支票
'kong'zhi'xian'jin'tou'fang 控制现金投放
'kou'chu'wu'jia'yin'su 扣除物价因素
'kou'ji'ling 扣记令
'kou'liu 扣留
'kou'liu'wen'jian 扣留文件
'kou'shu'chen'ci 口述陈词
'kou'ti'yi 口蹄疫
'kou'tou'bian'lun 口头辩论
'kou'tou'chen'shu 口头陈述
'kou'tou'ci'ju 口头词句
'kou'tou'de 口头的
'kou'tou'de'fa'lv'cheng'xu 口头的法律程序
'kou'tou'fang'shi 口头方式
'kou'tou'fu'wen 口头覆问
'kou'tou'pan'wen 口头盘问
'kou'tou'wen'ti 口头问题
'kou'tou'xing'shi 口头形式
'kou'tou'xun'wen 口头讯问
'kou'tou'yi'zhu 口头遗嘱
'kou'tou'zheng'gong 口头证供
'kou'tou'zheng'ju 口头证据
'kou'ya 扣押
'kou'ya'cai'chan 扣押财产
'kou'ya'wu 扣押物
'kou'ya'zhai'wu'ren'cai'chan'ling'zhuang 扣押债务人财产令状
'kou'ya'zheng'wu 扣押证物
'ku'cun'chan'pin 库存产品
'kua'guo'su'song 跨国诉讼
'kua'guo'yin'hang'ye'wu 跨国银行业务
'kua'nian'du'cai'gou 跨年度采购
'kuai'ji'cong'ye'zi'ge'guan'li'ban'fa 会计从业资格管理办法
'kuai'ji'fa 会计法
'kuai'ji'ji'chu'gong'zuo'gui'fan 会计基础工作规范
'kuai'ji'shi'shi'wu'suo 会计师事务所
'kuai'ji'zhun'ze 会计准则
'kuan'xian'qi 宽限期
'kuang'chan'zi'yuan'deng'ji'tong'ji'guan'li'ban'fa 矿产资源登记统计管理办法
'kuang'chan'zi'yuan'fa 矿产资源法
'kuang'quan'bing'fang'zhi'ji'shu'gui'fan 狂犬病防治技术规范
'kuang'shan'di'zhi'huan'jing'bao'hu'gui'ding 矿山地质环境保护规定
'kui'sun'qi'ye 亏损企业
'kuo'da 扩大
'la'ji'zhai'quan 垃圾债券
'lai'liao'jia'gong 来料加工
'lai'yi'bao'hu 赖以保护
'lai'yin'he'hang'xing'gong'yue 莱茵河航行公约
'lan'ya'ji'shu 蓝牙技术
'lan'yong'zhi'quan 滥用职权
'lao'dong'bao'xian 劳动保险
'lao'dong'bao'zhang'jian'cha'tiao'li 劳动保障监察条例
'lao'dong'fa 劳动法
'lao'dong'fang'hu'yong'pin'guan'li'gui'ding 劳动防护用品管理规定
'lao'dong'gai'zao 劳动改造
'lao'dong'gai'zao'fa'xue 劳动改造法学
'lao'dong'he'she'hui'bao'zhang'bu 劳动和社会保障部
'lao'dong'he'tong'fa 劳动合同法
'lao'dong'he'tong'fa'shi'shi'tiao'li 劳动合同法实施条例
'lao'dong'ji'lv 劳动纪律
'lao'dong'jiao'yang 劳动教养
'lao'dong'jiao'yang'chu'fa 劳动教养处罚
'lao'dong'jiao'yang'jue'ding 劳动教养决定
'lao'dong'jiao'yang'shi'xing'ban'fa 劳动教养试行办法
'lao'dong'jiao'yu 劳动教育
'lao'dong'neng'li 劳动能力
'lao'dong'zheng'yi 劳动争议
'lao'dong'zheng'yi'tiao'jie'zhong'cai'fa 劳动争议调解仲裁法
'lao'dong'zheng'yi'zhong'cai'shen'qing'shu 劳动争议仲裁申请书
'lao'dong'zong'ju 劳动总局
'lao'gai 劳改
'lao'gai'chang 劳改场
'lao'jia 老家
'lao'jiao'suo 劳教所
'lao'jiu'yun'shu'chuan'bo'guan'li'gui'ding 老旧运输船舶管理规定
'lao'ling'wei 老龄委
'lao'nian'ren'quan'yi'bao'zhang'fa 老年人权益保障法
'lao'wu'chu'zi 劳务出资
'lao'yi 劳役
'lei'fan 累犯
'lei'fen'zhuang'tai 泪愤状态
'lei'ji'zheng'ju 累积证据
'lei'tui 类推
'lei'tui'pan'jue'de'he'zhun'cheng'xu 类推判决的核准程序
'lei'tui'shen'he 类推审核
'lei'tui'shen'he'fa'yuan 类推审核法院
'lei'tui'shi'yong 类推适用
'li'an 立案
'li'an'bao'gao 立案报告
'li'an'guan'xia 立案管辖
'li'an'jia'ge 离岸价格
'li'an'jue'ding'shu 立案决定书
'li'an'tiao'jian 立案条件
'li'an'yin'hang'ye'wu 离岸银行业务
'li'an'zhen'cha 立案侦查
'li'fa 立法
'li'fa'cheng'xu 立法程序
'li'fa'fa 立法法
'li'fa'ji'guan 立法机关
'li'fa'jie'shi 立法解释
'li'fa'jing'shen 立法精神
'li'fa'quan 立法权
'li'fa'zong'zhi 立法宗旨
'li'gai'shui 利改税
'li'gun'li 利滚利
'li'hai'chong'tu 利害冲突
'li'hai'guan'xi'ren 利害关系人
'li'hun 离婚
'li'hun'pan'jue 离婚判决
'li'hun'su'song 离婚诉讼
'li'hun'zheng 离婚证
'li'ji 立即
'li'pei 理赔
'li'run'qu'dong 利润驱动
'li'shi'fa'xue'pai 历史法学派
'li'shu'guan'xi 隶属关系
'li'shun'wai'mao'ti'zhi 理顺外贸体制
'li'wai'fa 例外法
'li'xi'hui'shou'lv 利息回收率
'li'xian'guo'jia 立宪国家
'li'yong'quan 利用权
'li'yue'neng'li 立约能力
'li'yue'zi'ge 立约资格
'lian'ai'jie'duan 恋爱阶段
'lian'bang'fa 联邦法
'lian'dai'ze'ren 连带责任
'lian'dai'zhi'zhai 连带之债
'lian'gong'bao'liao'he'tong 连工包料合同
'lian'hang'qing'suan 联行清算
'lian'he'guo 联合国
'lian'he'guo'da'hui 联合国大会
'lian'he'guo'hai'yang'fa'gong'yue 联合国海洋法公约
'lian'he'jian'bing 联合兼并
'lian'he'jing'ying 联合经营
'lian'quan 联权
'lian'suo'jing'ying'xie'hui 连锁经营协会
'lian'suo'qi'ye 连锁企业
'lian'ying 联营
'lian'ying'gong'si 联营公司
'lian'ying'tou'zi'zi'ben 联营投资资本
'lian'zheng'jian'she 廉政建设
'lian'zu'zhu'fang'bao'zhang'ban'fa 廉租住房保障办法
'liang'he'gong'si 两合公司
'liang'ji'fen'hua 两极分化
'liang'ji'zhong'cai 两级仲裁
'liang'shen'zhong'jie 两审终结
'liang'shi'chu'bei'ju 粮食储备局
'liang'shi'ku'cun'jian'cha'zan'xing'ban'fa 粮食库存检查暂行办法
'liang'shi'xing'zheng'fu'yi'ban'fa 粮食行政复议办法
'liang'xing'xun'huan 良性循环
'liang'xing'yuan'ze 量刑原则
'liao'jie'fa'lv'cheng'xu 了结法律程序
'liao'jie'su'qing 了结诉请
'liao'jie'su'song'yin'you 了结诉讼因由
'lie'hou'gu 劣后股
'lie'xi 列席
'lin'hua'xin 磷化锌
'lin'jing'shui 临经税
'lin'mu'zhong'zi'zhi'liang'guan'li'ban'fa 林木种子质量管理办法
'lin'qu 林区
'lin'quan 林权
'lin'shi'cai'jue'shu 临时裁决书
'lin'shi'fu'kuan 临时付款
'lin'shi'tiao'li 临时条例
'lin'ye'biao'zhun'hua'guan'li'ban'fa 林业标准化管理办法
'lin'ye'ju 林业局
'ling'dao'ze'ren 领导责任
'ling'gong'zhong'li'yi'shou'dao'sun'hai 令公众利益受到损害
'ling'gong'zhong'shou'dao'sun'hai 令公众受到损害
'ling'hai'ji'pi'lian'qu'fa 领海及毗连区法
'ling'ren'fan'gan 令人反感
'ling'ren'fan'gan'de'wen'zi 令人反感的文字
'ling'ren'yan'wu 令人厌恶
'ling'ren'yan'wu'de'ren'wu 令人厌恶的人物
'ling'shi'ren'yuan 领使人员
'ling'shou'wu'jia'zhi'shu 零售物价指数
'ling'shou'ye 零售业
'ling'xing'fa'bu 另行发布
'ling'xun 聆讯
'ling'yang'de'fu'mu 领养的父母
'ling'yang'de'zi'nv 领养的子女
'ling'yang'fu'qin 领养父亲
'ling'yang'mu'qin 领养母亲
'ling'zhuang 令状
'ling'zhuang'wen'gao 令状文稿
'liu'dong'xing'bi'li 流动性比例
'liu'dong'zi'chan 流动资产
'liu'dong'zi'chan'zhou'zhuan'lv 流动资产周转率
'liu'dong'zi'jin'dai'kuan 流动资金贷款
'liu'fa'quan'shu 六法全书
'liu'gou 留购
'liu'mang 流氓
'liu'mang'xing'wei 流氓行为
'liu'mang'zui 流氓罪
'liu'qin'bu'ren 六亲不认
'liu'suan'an 硫酸铵
'liu'tong'su'du 流通速度
'liu'tong'ti'zhi 流通体制
'liu'tong'wang'luo 流通网络
'liu'tong'wu 流通物
'liu'zhi'quan 留置权
'long'duan'hang'ye 垄断行业
'long'ya'ren'xie'hui 聋哑人协会
'lu'yan 路演
'lu'zhi'quan 录制权
'luan'gao'nan'nv'guan'xi 乱搞男女关系
'luan'ji'zi 乱集资
'luan'shou'fei 乱收费
'luan'tan'pai 乱摊派
'lue'you'bang'mang 略有帮忙
'luo'ma'fa 罗马法
'luo'ma'fa'xi 罗马法系
'lv'hua'wei'yuan'hui 绿化委员会
'lv'se'shi'chang'ren'zheng'shi'shi'gui'ze 绿色市场认证实施规则
'lv'shi 律师
'lv'shi'dai'li 律师代理
'lv'shi'fa 律师法
'lv'shi'fei 律师费
'lv'shi'fu'wu'shou'fei'guan'li'ban'fa 律师服务收费管理办法
'lv'shi'han 律师函
'lv'shi'hang'ye 律师行业
'lv'shi'jian'zheng 律师见证
'lv'shi'jian'zheng'shu 律师见证书
'lv'shi'juan'zong 律师卷宗
'lv'shi'shi'wu'suo 律师事务所
'lv'shi'shou'fei 律师收费
'lv'shi'ti'qian'jie'ru 律师提前介入
'lv'shi'xie'hui 律师协会
'lv'shi'yi'jian'shu 律师意见书
'lv'shi'zhu'li 律师助理
'lv'shi'zi'ge 律师资格
'lv'shi'zi'ge'zheng 律师资格证
'lv'xing 履行
'lv'xing'he'tong 履行合同
'lv'xing'he'tong'yi'wu 履行合同义务
'lv'xing'she'guan'li'tiao'li 旅行社管理条例
'lv'xing'she'tiao'li 旅行社条例
'lv'xing'she'tiao'li'shi'shi'xi'ze 旅行社条例实施细则
'lv'you'ju 旅游局
'lv'yue'neng'li 履约能力
'lv'zheng'ren'yuan 律政人员
'ma'zui'pin'dan'yi'gong'yue 麻醉品单一公约
'ma'zui'yao'pin 麻醉药品
'ma'zui'yao'pin'guan'li'ban'fa 麻醉药品管理办法
'mai'cang'wu 埋藏物
'mai'chu'hui'gou'zheng'quan 卖出回购证券
'mai'fang'shi'chang 买方市场
'mai'fang'shi'chang 卖方市场
'mai'mai'he'tong 买卖合同
'mai'mai'hun'yin 买卖婚姻
'mai'yin 卖淫
'man'zu 满足
'man'zu 满族
'mang'ren'xie'hui 盲人协会
'mao'chong 冒充
'mao'yi'bi'lei 贸易壁垒
'mao'yi'cha'e 贸易差额
'mao'yi'guan'li 贸易惯例
'mao'yi'ni'cha 贸易逆差
'mao'yi'shun'cha 贸易顺差
'mao'yi'xian'zhi 贸易限制
'mei'guo'fa'xue'xue'shi 美国法学学士
'mei'kuang'gong'hui 煤矿工会
'mei'san'tong 美散痛
'mei'shu'pin'jing'ying'guan'li'ban'fa 美术品经营管理办法
'mei'tan'chu'kou'pei'e'guan'li'ban'fa 煤炭出口配额管理办法
'mei'tan'fa 煤炭法
'mei'tan'gong'ye'ju 煤炭工业局
'mei'tan'jing'ying'jian'guan'ban'fa 煤炭经营监管办法
'mei'you'pei'ou'de'nan'nv 没有配偶的男女
'men'hu'wang'zhan 门户网站
'mi'ma'guan'li'wei'yuan'hui'ban'gong'shi 密码管理委员会办公室
'mi'mi'quan 秘密权
'mian'chu 免除
'mian'er'jian'san 免二减三
'mian'hua'zhi'liang'jian'du'guan'li'tiao'li 棉花质量监督管理条例
'mian'shou'di'jia'pi'gei'de'tu'di 免收地价批给的土地
'mian'yu'qi'su'shu'mian'jue'ding 免予起诉书面决定
'mian'yu'xing'shi'chu'fen 免于刑事处分
'mian'zhi 面值
'miao'shi'fa'ting 藐视法庭
'min'ban'jiao'yu'cu'jin'fa 民办教育促进法
'min'fa 民法
'min'fa'dian 民法典
'min'fa'fa'lv'gui'fan 民法法律规范
'min'fa'fa'xi 民法法系
'min'fa'ji'ben'yuan'ze 民法基本原则
'min'fa'li'lun 民法理论
'min'fa'tong'ze 民法通则
'min'hang'dian'zi'zheng'wu'guan'li'ban'fa 民航电子政务管理办法
'min'jian'jiu'fen'chu'li'ban'fa 民间纠纷处理办法
'min'jian'xin'yong 民间信用
'min'jing 民警
'min'shi'an'jian 民事案件
'min'shi'fa'lv 民事法律
'min'shi'fa'lv'cheng'xu'wen'jian 民事法律程序文件
'min'shi'fa'lv'xing'wei 民事法律行为
'min'shi'guan'xia'quan 民事管辖权
'min'shi'he'huo 民事合伙
'min'shi'jiu'fen 民事纠纷
'min'shi'pan'jue'shu 民事判决书
'min'shi'pei'chang 民事赔偿
'min'shi'qin'quan'fa 民事侵权法
'min'shi'quan'li 民事权利
'min'shi'quan'li'neng'li 民事权利能力
'min'shi'shen'pan'ren'yuan 民事审判人员
'min'shi'shen'pan'ting 民事审判庭
'min'shi'su'song 民事诉讼
'min'shi'su'song'cheng'xu'gong'yue 民事诉讼程序公约
'min'shi'su'song'fa 民事诉讼法
'min'shi'tiao'jie 民事调解
'min'shi'xing'wei 民事行为
'min'shi'ze'ren 民事责任
'min'shi'ze'ren'cheng'dan'fang'shi 民事责任承担方式
'min'shi'zhu'ti'zi'ge 民事主体资格
'min'ying'gong'si 民营公司
'min'yong'bao'zha'wu'pin'guan'li'tiao'li 民用爆炸物品管理条例
'min'yong'hang'kong'fa 民用航空法
'min'yong'hang'kong'guan'li'zhi'du 民用航空管理制度
'min'yong'hang'kong'zong'ju 民用航空总局
'min'yong'ji'chang'shi'yong'xu'ke'gui'ding 民用机场使用许可规定
'min'yong'jian'zhu'jie'neng'guan'li'gui'ding 民用建筑节能管理规定
'min'yong'jian'zhu'jie'neng'tiao'li 民用建筑节能条例
'min'yong'yun'li'guo'fang'dong'yuan'tiao'li 民用运力国防动员条例
'min'zheng 民政
'min'zheng'bu 民政部
'min'zhu'ji'zhong'zhi 民主集中制
'min'zu'ping'deng 民族平等
'min'zu'qu'yu'zi'zhi'fa 民族区域自治法
'min'zu'shi'wu'wei'yuan'hui 民族事务委员会
'min'zu'xiang 民族乡
'ming'bu 明补
'ming'cheng'quan 名称权
'ming'kui 明亏
'ming'ling 命令
'ming'ling'xing'gui'fan 明令性规范
'ming'ma'biao'jia 明码标价
'ming'pai'chan'pin 名牌产品
'ming'shi'bao'zheng 明示保证
'ming'yi'shang'de 名义上的
'ming'yu'quan 名誉权
'ming'yu'quan'an'jian 名誉权案件
'ming'zheng'zhuan'yuan 明政专员
'mo'leng'liang'ke 模棱两可
'mo'shi'bao'zheng 默示保证
'mo'shi'he'tong 默示合同
'mo'shi'tiao'kuan 默示条款
'mo'shou 没收
'mo'shou'cai'chan 没收财产
'mou'jia 某甲
'mou'qu'bao'li 谋取暴利
'mou'ren'ying'dang'wei'mou'shi'fu'ze 某人应当为某事负责
'mou'sha 谋杀
'mu'fa 母法
'mu'gong'si 母公司
'mu'guo 母国
'mu'ji'she'li 募集设立
'mu'nv'guan'xi 母女关系
'mu'qin 母亲
'mu'ying'bao'jian'fa 母婴保健法
'mu'ying'bao'jian'fa'shi'shi'ban'fa 母婴保健法实施办法
'na'qie 纳妾
'na'shui'dan'bao'shi'xing'ban'fa 纳税担保试行办法
'na'shui'fu'wu'gong'zuo'gui'fan 纳税服务工作规范
'na'shui'ka 纳税卡
'nan'fang'li'hun'mei'you'li'you 男方离婚没有理由
'nan'ji'kao'cha'wei'yuan'hui 南极考察委员会
'nan'nv'guan'xi 男女关系
'nan'nv'ping'deng 男女平等
'nao'wai'shang'zong'he'zheng 脑外伤综合症
'nei'bu'jiao'yi 内部交易
'nei'bu'kong'zhi 内部控制
'nei'bu'shen'ji 内部审计
'nei'bu'tong'zhi 内部通知
'nei'di'duan 内地段
'nei'di'yu'xiang'gang 内地与香港
'nei'luan 内乱
'nei'mu 内幕
'nei'mu'jiao'yi 内幕交易
'nei'mu'jiao'yi'shen'cai'chu 内幕交易审裁处
'nei'mu'jiao'yi'zhe 内幕交易者
'nei'ting 内庭
'nei'ting'chu'li 内庭处理
'nei'ting'fa'guan 内庭法官
'nei'ting'fa'lv'cheng'xu 内庭法律程序
'nei'zhai 内债
'neng'yuan'tou'zi'gong'si 能源投资公司
'neng'yuan'wei'yuan'hui 能源委员会
'neng'yuan'xiao'lv'biao'zhi'guan'li'ban'fa 能源效率标识管理办法
'ni'zhi'xue'qin 拟制血亲
'nian'bao 年报
'nian'du'zhang'mu 年度账目
'nian'jian 年检
'ning'jing'de'zhan'you'quan 宁静的占有权
'niu'kui'wei'ying 扭亏为盈
'niu'qu'jin'rong'fen'pei 扭曲金融分配
'niu'song 扭送
'niu'yue'gong'yue 纽约公约
'nong'chan'pin'zhi'liang'an'quan'fa 农产品质量安全法
'nong'cun'cheng'bao'jing'ying'hu 农村承包经营户
'nong'cun'fa'zhan'yan'jiu'zhong'xin 农村发展研究中心
'nong'cun'gong'lu'jian'she'guan'li'ban'fa 农村公路建设管理办法
'nong'cun'sheng'yu'lao'dong'li 农村剩余劳动力
'nong'cun'tu'di'cheng'bao'fa 农村土地承包法
'nong'cun'xin'yong'she 农村信用社
'nong'fu'chan'pin'cai'gou'zhi'chu 农副产品采购支出
'nong'fu'chan'pin'gou'xiao'he'tong'tiao'li 农副产品购销合同条例
'nong'gong'shang'lian'he'qi'ye 农工商联合企业
'nong'jia'dian'jian'she'yu'gai'zao'gui'fan 农家店建设与改造规范
'nong'ken'qu 农垦区
'nong'min'ji'ti 农民集体
'nong'min'zhuan'ye'he'zuo'she'fa 农民专业合作社法
'nong'yao'can'liu'wu 农药残留物
'nong'yao'guan'li'tiao'li 农药管理条例
'nong'yao'sheng'chan'guan'li'ban'fa 农药生产管理办法
'nong'ye'bu 农业部
'nong'ye'fa 农业法
'nong'ye'fa'zhan'yin'hang 农业发展银行
'nong'ye'ji'shu'tui'guang'fa 农业技术推广法
'nong'ye'ji'xie'hua'cu'jin'fa 农业机械化促进法
'nong'ye'ji'xie'shi'yan'jian'ding'ban'fa 农业机械试验鉴定办法
'nong'ye'ji'xie'wei'xiu'guan'li'gui'ding 农业机械维修管理规定
'nong'ye'ji'xie'zhi'liang'diao'cha'ban'fa 农业机械质量调查办法
'nong'ye'shui 农业税
'nong'ye'wei'yuan'hui 农业委员会
'nong'ye'xing'zheng'chu'fa'cheng'xu'gui'ding 农业行政处罚程序规定
'nong'ye'yin'hang 农业银行
'nong'ye'zong'he'kai'fa'ban'gong'shi 农业综合开发办公室
'nong'zhuan'fei 农转非
'nue'dai 虐待
'nue'dai'zui 虐待罪
'nuo'cheng'xing'min'shi'fa'lv'xing'wei 诺成性民事法律行为
'nuo'yong 挪用
'nuo'yong'gong'kuan 挪用公款
'nv'zhi'gong'lao'dong'bao'hu'gui'ding 女职工劳动保护规定
'ou'da'ta'ren 殴打他人
'ou'fan 偶犯
'pai'chi'wai'zai'zheng'ju'yuan'ze 排斥外在证据原则
'pai'chu'fa'ting 派出法庭
'pai'chu'fang'ai 排除妨碍
'pai'chu'suo 派出所
'pai'chu'ze'ren'tiao'kuan 排除责任条款
'pai'fen'jie'song 排纷解讼
'pai'mai'fa 拍卖法
'pai'mai'guan'li'ban'fa 拍卖管理办法
'pai'sheng'de'fen'zu'ren 派生的分租人
'pai'sheng'de'fen'zu'zu'qi 派生的分租租契
'pai'ta'xing'de'du'zhan'quan 排他性的独占权
'pan'an'li'you 判案理由
'pan'chu 判处
'pan'ding 判定
'pan'jue 判决
'pan'jue'li'ju 判决理据
'pan'jue'shu 判决书
'pan'jue'zhi'xing 判决执行
'pan'xing 判刑
'pang'xi'xue'qin 旁系血亲
'pang'zheng 旁证
'pao'mo'jing'ji 泡沫经济
'pao'mo'xiao'ying 泡沫效应
'pei'chang 赔偿
'pei'chang'fa 赔偿法
'pei'chang'jin 赔偿金
'pei'chang'sun'shi 赔偿损失
'pei'chang'ze'ren 赔偿责任
'pei'gu 配股
'pei'he'si'liao 配合饲料
'pei'li'dao'qian 赔礼道歉
'pei'ou 配偶
'pei'ou'de'fu'mu 配偶的父母
'pei'ou'quan 配偶权
'pei'shen 陪审
'pei'shen'tuan 陪审团
'pei'shen'yuan 陪审员
'pei'tao'gai'ge 配套改革
